name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
Руководитель группы разработчиков,"<p>Наш клиент, один из ведущих банков страны, в поиске руководителя группы разработки для участия в масштабном высоконагруженном проекте.</p> <p><strong>Основные задачи:</strong></p> <ul> <li>Организация и управление процессами анализа и формализации требований к программным продуктам и проведения их тестирования;</li> <li>Выполнение работ по исследованию новых технологических решений и платформ для оценки эффективности их использования в финансовой сфере;</li> <li>Внедрение инновационных технологий;</li> <li>Контроль выполнение работ;</li> <li>Ежемесячное планирование своей деятельности и деятельности команды, составление отчетов по ней.</li> </ul> <p><strong>Мы ожидаем от кандидата:</strong></p> <ul> <li>Опыт реализации и внедрения финтех-проектов;</li> <li>Опыт руководства командами разработки;</li> <li>Опыт работы с высоконагруженными системами;</li> <li>Владение Atlassian Jira, Atlassion Confluence, Redmine GitLab или аналогичными системами.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оформление по ТК РФ;</li> <li>График работы 5/2 с 8:00 до 17:00;</li> <li>Полноценный ДМС;</li> <li>Корпоративное обучение, питание и отдых.</li> </ul>","Работа в команде
Организаторские навыки
Управление проектами
Умение работать в условиях многозадачности",between3And6,FALSE,Selecty,,,,,Новосибирск,2022-07-05T18:19:30+0300
Ведущий аналитик баз данных SQL,"<p>Крупнейший исследовательский холдинг, специализирующийся на маркетинговых, медиа и социально-экономических исследованиях в связи с расширением приглашает на работу Ведущего аналитика SQL</p> <p> </p> <p><em><strong>Обязанности:</strong></em></p> <ul> <li>Решение сложных аналитических задач</li> <li>Ведение аналитических проектов</li> <li>Анализ входных данных и подготовка на базе этих данных регулярных отчетов</li> <li>Обработка разовых запросов для клиентов, входной контроль качества данных обрабатываемых категорий</li> <li>Осуществление расчетов показателей для регулярных клиентских отчетов проверка результатов расчета и форматирование отчетов</li> <li>Разработка методик расчета для нестандартных показателей</li> <li>Разработка формата таблиц для новых клиентов</li> <li>Выстраивание работы со смежными подразделениями</li> </ul> <p><em><strong>Требования:</strong></em></p> <ul> <li>Опыт работы с различными источниками данных, в том числе с базами данных с использованием SQL, VВА, Excel</li> <li>Математический склад ума</li> <li>Хорошие аналитические навыки, внимание к деталям</li> <li>Умение работать с большим объемом информации</li> <li>Приветствуется опыт работы в сфере маркетинговых исследований</li> </ul> <p><em><strong>Условия:</strong></em></p> <ul> <li>Работа в районе м. Парк Победы/ м. Багратионовская, шаговая доступность</li> <li>Стабильная индексируемая заработная плата</li> <li>Перспектива карьерного роста и профессионального развития</li> <li>График работы 5/2 с 9:30 до 18:00 ч.</li> <li>Дружный, профессиональный и молодой коллектив</li> </ul>",,moreThan6,FALSE,М-Холдинг,,,,,Москва,2022-07-05T18:20:15+0300
Электромеханик производства,"<p><strong>Группа компаний «МИАКОМ»</strong> основана в 2004 году в Санкт-Петербурге. Многолетний производственный и инженерный опыт позволяет нам предложить комплексные инженерные решения при проектировании и строительстве. Группа компаний «МИАКОМ» имеет собственный производственный комплекс в Ленинградской области, сеть филиалов и дилерскую сеть.</p> <p><strong>Наш продукт. </strong>Ассортимент выпускаемой нами продукции уникален и разнообразен. Продукция изготавливается под различные требования заказчиков и позволяет решать задачи любой степени сложности. Мы производим следующие материалы - тканый геотекстиль, георешетки (геосетки) и геокомпозиты; строительные фасадные и кладочные сетки; объемную георешетку; противоэрозионные геоматы и многое другое.</p> <p>Также мы разрабатываем и производим изделия и конструкции, применяемые в качестве водопропускных сооружений, переходов для пешеходов и животных, мостов и транспортных тоннелей.</p> <p><strong>Круг выполняемых задач:</strong></p> <ul> <li> <p>Проведение требуемых работ в сфере эксплуатации электротехники;</p> </li> <li> <p>Выполнение измерений и вычислений в области своей деятельности;</p> </li> <li> <p>Выявление неполадок в электрооборудовании и принятие мер по их ликвидации;</p> </li> <li> <p>Проведение текущего осмотра и тестирования электрооборудования;</p> </li> <li> <p>Проверка соответствия параметров электрооборудования тем, которые заявлены в технической документации;</p> </li> <li> <p>Выполнение работ по подготовке к эксплуатации нового электрооборудования;</p> </li> <li> <p>Требуемая настройка электрооборудования;</p> </li> <li> <p>Внедрение в практику передовых методов проведения электромеханических работ;</p> </li> <li> <p>Монтаж и демонтаж электрооборудования;</p> </li> <li> <p>Обеспечение грамотной эксплуатации приборов и инструментов.</p> </li> </ul> <p><strong>Мы ждем от кандидата:</strong></p> <ul> <li> <p>Среднее специальное/профессиональное, высшее образование, специализация &quot;Электромеханик&quot;, &quot;Техник-механик&quot;, &quot;Инженер-механик&quot;;</p> </li> <li>Опыт работы в соответствующей должности – от 2 лет;</li> <li> <p>Знание специфики работы механизмов различной сложности;</p> </li> <li> <p>Знание устройства производственного оборудования.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Работу в Российской производственной компании с 18-летней историей, входящей в тройку лидеров своего сегмента;</p> </li> <li>Быть частью коллектива, который работает для того, чтобы приносить пользу людям;</li> <li>Отношения в компании строятся на доверии, что позволит каждому сотруднику быть самостоятельным и нести ответственность за принятые решения;</li> <li>Возможность повышения квалификации, профессионального уровня и обучения за счет компании в специализированных для этого организациях;</li> <li>Подарок в день рождения каждому сотруднику;</li> </ul> <p> </p> <ul> <li>Официальное трудоустройство в соответствии с ТК РФ;</li> <li>Отпуска и больничные согласно законодательству;</li> <li>Полностью официальная заработная плата;</li> <li>Уровень заработной платы составляет 50 000 рублей на испытательный срок, 55 000 рублей после него;</li> <li>Заработная плата выплачивается 2 раза в месяц - 10 и 25 числа;</li> <li>График работы: 2/2 с 09.00-21.00;</li> <li>Бесплатные обеды;</li> <li>Иногородним кандидатам предоставляем общежитие;</li> <li>Работа на производственной площадке в гп. Рощино (Ленинградская область, Выборгский район).</li> </ul> <p><em>Будем рады видеть Вас в рядах нашей команды профессионалов!</em></p>","Умение работать в команде
Техническая эксплуатация
Навыки составления отчетности
Пуско-наладочные работы
Ремонт оборудования
механик
электромеханик",between1And3,FALSE,МИАКОМ,50000,,FALSE,RUR,Рощино (Ленинградская область),2022-07-15T09:56:52+0300
Менеджер по ведению справочников,"<p><strong>О компании:</strong></p> <p><strong>«АйДи-360»</strong> входит в группу компаний, занимающих лидирующие позиции в области digital и омниканального маркетинга в сфере здравоохранения на протяжении уже более 10 лет. Компания осуществляет деятельность по разработке и применению информационного и программного обеспечения, направленного на комплексное изучение фармацевтического рынка Российской Федерации, а также на развитие и внедрение компьютерных технологий в медицине и фармации.</p> <p>Приходя в нашу компанию, вы увидите молодой и целеустремленный коллектив, процессы направленные на ускорение работы и получения результата.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Сопровождать и поддерживать справочники аналитических продуктов;</li> <li>Проверять существующую и вносимую информацию в справочники на предмет наличия ошибок, полноты и достоверности;</li> <li>Выявлять дубликаты недостаточно/некорректно описанных SKU и др. элементов справочников, уточнять параметры элементов справочников в открытых источниках, компаниях-фармпроизводителях, реестре ГРЛС;</li> <li>Разрабатывать структуры справочников разной направленности;</li> <li>Проводить первичную оценку справочников потенциальных проектов;</li> <li>Готовить предложения по классификации и нормализации по действующим и новым исследованиям;</li> <li>Взаимодействовать со всеми структурными подразделениями в части ведения и использования нормативно-справочной информации.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее фармацевтическое/медицинское/экономическое/техническое образование, с опытом работы в аптечных сетях или аналитических агентствах</li> <li>Знание основного ассортимента аптек, понимание особенностей различных видов товаров</li> <li>Опыт и знание работы с реестрами/классификаторами (ГРЛС, ГРМИ, Реестр продукции, прошедшей государственную регистрацию, МКБ10)</li> <li>Хорошие аналитические способности</li> <li>Умение работать в команде, готовность к многозадачности и высокая степень самоорганизации</li> </ul> <p><strong>Условия</strong><strong>:</strong></p> <ul> <li>Интересная работа в инновационной быстрорастущей компании с перспективой развития на международных рынках</li> <li>Оформление согласно ТК РФ</li> <li>Бесплатная корпоративная связь</li> <li>Возможность профессионального роста в кросс-функциональной, энергичной молодой команде</li> <li>График работы 5/2, гибкое время начала рабочего дня, формат удалённой или частично-удалённой работы</li> <li>Комфортный офис в 5 мин. доступности от м. Ул. 1905 года (здание ЦМТ)</li> </ul>",,between1And3,FALSE,АйДи-360,,90000,FALSE,RUR,Москва,2022-07-17T18:21:27+0300
Аналитик (Контур.Фокус),"<p>Контур<strong> </strong>— ведущий разработчик веб-сервисов для бизнеса. Мы создаем решения, которые сохраняют время, деньги и нервные клетки бизнесменам и их сотрудникам по всей стране.</p> <p>Сейчас мы в поиске <em>Аналитика </em>в группу развития торговой марки <em>Контур.Фокус</em>.</p> <p><em>О группе развития</em></p> <p>Мы занимаемся проверкой гипотез, направленных на развитие группы продуктов, входящих в торговую марку Контур.Фокус, цели продуктов которой - помочь компаниям снизить риски ведения своего бизнеса. Мы помогаем продуктам находить новые ценности, функциональные сценарии, новых клиентов и новые рынки, чтобы увеличить выручку торговой марки Контур.Фокус.</p> <p><strong>Чем предстоит заниматься</strong></p> <ul> <li>Проведение количественных и качественных исследований:</li> <li>сбор, анализ данных, их обработка, организация хранения, мониторинг;</li> <li>исследование конкурентной среды в РФ и за рубежом;</li> <li>проведение А/Б тестов.</li> <li>Интерпретация результатов исследований, написание выводов и рекомендаций, визуализация полученных данных.</li> <li>Анализ продуктов и фич, формирование предложений по улучшению продукта.</li> <li>Участие в разработке и написании продуктовых требований.</li> <li>Описание бизнес-процессов.</li> <li>Разработка и ведение документации проекта и проводимого исследования.</li> </ul> <p><strong>Необходимые опыт и навыки</strong></p> <ul> <li>Опыт проверки гипотез, участие/поддержка команды во время проверки гипотез.</li> <li>Опыт проработки требований и написания ТЗ.</li> <li>Уметь задавать как можно больше вопросов, докапываться до сути.</li> <li>Уметь формулировать требования к доставляемым данным, понимать уровень их достаточности для принятия решения.</li> <li>Системно мыслить, уметь выделять главное, расставлять приоритеты.</li> <li>Проявлять инициативу и самостоятельность.</li> <li>Быть готовым работать с задачами с высокой долей неопределенности.</li> </ul> <p><strong>Что предлагаем</strong></p> <ul> <li>Комфортный и современный офис с уютными переговорками, кухней, спортзалом, душем и велопарковкой. Лицензионное ПО и кучу внутренних сервисов, которые избавляют от излишней бюрократии.</li> <li>Неравнодушную команду, где не игнорируют вопросы, а готовы помочь.</li> <li>Возможность развиваться.</li> <li>Уровень заработной платы обсуждаем индивидуально.</li> </ul> <p> </p>","Системное мышление
Аналитические исследования
Бизнес-анализ
Маркетинговые исследования",between3And6,FALSE,Контур,,,,,Екатеринбург,2022-07-05T18:21:28+0300
Менеджер отдела маркетинга и ИТ,"<p>Компания <strong>&quot;Ремшип&quot;</strong> - лидер продаж ремонтных шипов на территории РФ, и является экспертом в области средств противоскольжения в автомобильной индустрии. Наша Компания очень динамично развивается и в настоящий момент насчитывает более 30 официальных представителей и партнеров по реализации ремонтных шипов в регионах России и СНГ.</p> <p><br />Мы ищем в нашу команду активного, самостоятельного человека, имеющего навыки работы в графических редакторах (Photoshop + Illustrator) и понимающего основы интернет-маркетинга. Если Вы начинающий специалист, но хотите развиваться в этой сфере, готовы обучить и предоставить возможности для роста.</p> <p><strong>Основные задачи:</strong></p> <ul> <li> <p>Печатная продукция(упаковка, маркетинговые материалы): правка макетов, взаимодействие с дизайнерами и типографиями, разработка и написание ТЗ для маркетинговых материалов;</p> </li> <li> <p>Актуализация информации о продукции на сайте: описание, характеристики, цены, фотографии (как это делается, научим);</p> </li> <li> <p>Предметная съемка и правка фото в графических редакторах (Photoshop). Возможна передача на аутсорс к контролем результата;</p> </li> <li> <p>Генерация идей по повышению эффективности маркетинговых и рекламных каналов;</p> </li> <li> <p>Поиск новых источников лидов;</p> </li> <li> <p>Простейшее администрирование IT систем компании (завести пользователей,</p> <p>выдать права доступа и т.д.). Если навыков нет, всему научим)</p> </li> </ul> <p><strong>Мы ожидаем, что у Вас есть:</strong></p> <ul> <li> <p>Понимание основ интернет-маркетинга;</p> </li> <li> <p>Навыки владения графическими редакторами;</p> </li> <li> <p>Грамотная письменная речь;</p> </li> <li> <p>Высшее образование (можно незаконченное с возможностью работать в офисе 5/2);</p> </li> <li> <p>Высокий уровень самоорганизации и внимательность;</p> </li> <li> <p>Вашими плюсами будут: умение качественно вести предметную съёмку/ретушировать фото, простейшие знания в сфере ИТ;</p> </li> <li>Готовность изучать новое.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Возможность привносить и реализовывать свои самые смелые идеи;</li> <li>Обучение на рабочем месте и всестороннюю поддержку в освоении новых навыков;</li> <li>Рост и развитие вместе с Компанией;</li> <li>Работу в молодом, дружном коллективе :)</li> </ul>","Креативность
Инициативность
Стрессоустойчивость
Исполнительность
Грамотная речь
Обработка изображений
Лидогенерация
SMM",between1And3,FALSE,Ремшип,50000,,FALSE,RUR,Санкт-Петербург,2022-07-05T18:22:28+0300
Front-End разработчик сайта sberbank.ru,"<p>Наша команда поддерживает и развивает официальный сайт СберБанка — онлайн-витрину сервисов и продуктов банка и его экосистемы. Это один из самых посещаемых сайтов рунета с аудиторией около 25 миллионов пользователей в месяц.</p> <p><strong>Вы — наш кандидат, если:</strong></p> <ul> <li>работали с React (или Vue) и стейт менеджерами</li> <li>у вас есть опыт разработки адаптивных и отзывчивых интерфейсов</li> <li>готовы использовать в проектах не только чистый Javascript, но и TypeScript</li> <li>умеете быстро разбираться с новым, не боитесь признавать ошибки и принимать обратную связь.</li> </ul> <p><strong>Будет классно, если это тоже про вас:</strong></p> <ul> <li>есть опыт разработки сложных фронтенд-сервисов с учётом UX, оптимизации клиентской производительности и поддержки доступности интерфейсов для незрячих и слабовидящих клиентов</li> <li>умеете писать юнит-тесты (банковские Quality Gate требуют 80% покрытия кода)</li> <li>использовали в работе NodeJS/Express/Next.js.</li> </ul> <p><strong>Условия</strong></p> <p>Кроме зарплаты, вы получите:</p> <ul> <li>рабочий ноутбук</li> <li>индивидуальный план адаптации и развития с доступом к лекциям, вебинарам, книгам и обучающим материалам любой специализации</li> <li>сообщество фронтенд-разработчиков и возможность участвовать в конференциях и внутренних митапах</li> <li>ДМС, страхование от несчастных случаев и тяжелых заболеваний для вас и ваших близких</li> <li>материальную помощь и социальную поддержку, корпоративную пенсионную программу</li> <li>скидки для сотрудников от партнёров экосистемы Сбера</li> <li>кредиты на льготных условиях.</li> </ul>",,between1And3,FALSE,СБЕР,,,,,Москва,2022-07-05T18:22:34+0300
Senior Devops Engineer (на проект EaaS),"<p><strong>МТС – одна из крупнейших российских экосистем. На базе основного телеком-бизнеса мы создаем цифровые продукты и сервисы во многих направлениях – от интернета вещей, искусственного интеллекта и больших данных до цифровой медицины и киберспорта, а также активно развиваем свои внутренние продукты.</strong></p> <p>Мы создаём полностью управляемую платформу периферийных вычислений, поставляемую на площадку клиента, которая позволит предприятиям разворачивать требовательные к задержкам приложения быстро и без высоких стартовых затрат.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Проводить инсталляцию облачной платформы и сред виртуализации на основе OpenStack и Kubernetes;</li> <li>Обеспечивать стабильность работы, проводить диагностику ошибок работы в сервисах и исправление или эскалацию проблемы;</li> <li>Разрабатывать и поддерживать инструменты по развертыванию окружений (Dev, Stage, Prod);</li> <li>Автоматизировать деплой и процесс безопасного переключение на новую конфигурацию;</li> <li>Управлять системой доступов пользователей;</li> <li>Сопровождать команду разработки, автоматизировать процессы.</li> </ul> <p><strong>От Вас мы ждем:</strong></p> <ul> <li>Глубокое понимание Linux;</li> <li>Опыт участия в крупных проектах построения и поддержки отказоустойчивой системы на основе OpenStack в качестве ведущего инженера;</li> <li>Опыт работы с технологиями виртуализации (предпочтительно KVM, QEMU) и контейнеризации (Docker);</li> <li>Опыт работы с технологиями сетевой виртуализации (Linux Bridge, Open vSwitch);</li> <li>Опыт построения CI/CD Pipelines, опыт работы с системами контроля версий (предпочтительно GitLab);</li> <li>Опыт автоматизации рутинных операций с использованием Python и bash script;</li> <li>Умение работать с инструментами мониторинга приложений и инфраструктуры (Prometheus, Grafana);</li> <li>Знание основных сетевых протоколов и технологий: TCP, IPv4, IPv6, VLAN, DHCP, DNS, SNMP;</li> <li>Знание ключевых аспектов информационной безопасности.</li> </ul> <p><strong>Мы в свою очередь гарантируем:</strong></p> <ul> <li>Стабильную белую заработную плату, премии;</li> <li>Множество интересных и сложных проектов;</li> <li>Возможность работать удаленно из любого города;</li> <li>Бодрое утро - гибкое начало рабочего дня;</li> <li>Хакатоны, митапы, чемпионаты по программированию;</li> <li>Саморазвитие — мы сделали обучение доступным. Вы можете проходить тренинги очно, дистанционно, в Корпоративном университете, у провайдеров, у наставников;</li> <li>Здоровье своих сотрудников — ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж;</li> <li>Спорт — корпоративные соревнования по футболу, баскетболу и волейболу, различные спорт-программы или компенсация вашего фитнес-абонемента;</li> <li>Хороший отдых — отпуск 28 календарных дней + 3 календарных дня дополнительно ежегодно, а также различные скидки на путешествия от наших партнеров;</li> <li>Компенсацию сотовой связи.</li> </ul>",,between3And6,FALSE,МТС,,,,,Москва,2022-07-05T18:23:00+0300
Руководитель проекта по системам связи и информационным технологиям,"<p><strong>Обязанности:</strong></p> <p>1.<strong>Участие в формировании политики и стратегии развития в направлении связи и ИТ(информационная безопасность,системы связи,пожарная и транспортная безопасность,СКУД);</strong></p> <p>2.Постоянный мониторинг тенденций развития новой техники,продуктов и технологий;</p> <p>3.Подготовка и проведение презентаций и иных мероприятий для продвижения решений компании на современном рынке;</p> <p>4.Участие и контроль за выбором,подготовкой,внедрением информационных систем (ИС),оборудования и средств связи,СПО,автоматизированных рабочих мест (АРМ);</p> <p>5.Работа с Заказчиком,сторонними организациями и подразделениями компании.</p> <p><br /><strong>Требования:</strong></p> <p>-высшее инженерно-техническое образование</p> <p>-знание и практический опыт разработки и внедрения систем связи</p> <p>-<strong>знание основ архитектуры и функционирования современных систем связи;</strong></p> <p>-техническая грамотность;</p> <p>-ответственность,обучаемость,jорганизаторские способности, умение расставлять приоритеты и добиваться поставленных целей.</p> <p><br /><strong>Условия:</strong></p> <p>Оформление согласно ТК РФ;</p> <p>5/2,полный рабочий день в современном офисе с бесплатной охраняемой парковкой;</p> <p>возможны командировки;</p> <p>испытательный срок до 3 месяцев;</p> <p>Уровень ЗП обсуждается индивидуально</p> <p>Оплата сотовой связи</p> <p>Бонусы по итогам работы</p>","Организаторские навыки
Проведение презентаций
MS PowerPoint
Информационные технологии
Аналитическое мышление
Автоматизированное рабочее место (АРМ)
техническая грамотность",between3And6,FALSE,ПМЦ Авангард,80000,100000,FALSE,RUR,Санкт-Петербург,2022-07-17T18:23:06+0300
Senior Python Developer (Crypto),"<p>With over 1,500 employees of more than 88 nationalities, Exness is the place for global teamwork, incredible leadership, a learning culture, and constant development. Unlimited by time zones, Exnessians from around the world have worked seamlessly together since 2008 to provide our traders with the best possible trading experience. Today, we stand proud with over 300,000 active traders and 2.5 trillion USD in monthly trading volume.</p> <p><em><strong>Your role at Exness:</strong></em></p> <p>We are looking for an experienced Python Engineer to join our Exness Technology team. The role will be focused on the implementation of complex business logic inside web stack in the area of financial and crypto markets. Working side-by-side with Product Managers, connecting ideas to the customers in the most optimal way. We&#39;re looking for a person who will extend, optimize, and support the production of the existing software solutions, ensuring we capture as much value from the market as possible. You will research and innovate new ideas in high reliable, low-latency, and high-load computing in financial markets.</p> <p><em><strong>What You will do:</strong></em></p> <ul> <li>Software development;</li> <li>Highload and high available web stack services to support various customer journeys (Payments management);</li> <li>Supporting and back-office interfaces (Personal Area, Payment Solutions, Back Office);</li> <li>Blockchain and cryptocurrencies integration and development</li> <li>Internal auxiliary libraries, tools, integrations, interfaces, and frameworks supporting all components and services.</li> </ul> <p><em><strong>What you need to succeed:</strong></em></p> <ul> <li>You’re passionate about building a trading product that brings the world together;</li> <li>You have 5 years of commercial software development using Python and have excellent knowledge of its stack;</li> <li>You have a solid knowledge of general Computer Science and working experience with various system designs and integrational patterns,</li> <li>You have solid experience with ORM, DBMS, including database architecting;</li> <li>You cultivate DevOps culture and usage of relevant tools. You have solid experience with Operating Systems, Networking Models, virtualization, and containerization;</li> <li>You cover your software by unit tests, have experience in integrational and load tests;</li> <li>You can successfully interact with business functions using the English language.</li> </ul> <p><em><strong>Nice to have:</strong></em></p> <ul> <li>Knowledge and experience in cryptocurrencies integration (Ethereum/Bitcoin)</li> <li>Commercial experience with Go;</li> <li>Experience acting as a code reviewer;</li> <li>Experience in debugging, profiling, and code optimizations;</li> <li>Highload, concurrency &amp; multithreading backend systems development;</li> <li>Microservice development experience.</li> </ul> <p><em><strong>What we offer:</strong></em></p> <ul> <li>A fairly estimated and attractive package (competitive salary based on your expectations and internal benchmark) with the ability to start working remotely anywhere in the world;</li> <li>Company Car - the company will provide Exness-branded cars to those who relocated, parking near the office or a bus tickets;</li> <li>We’ll pay school or kindergarten fees (Annual Registration or Tuition Fees, Regular term fees, Half day service to kindergartens) for your children between 0 years - 18 years, up to three (3) children;</li> <li>L&amp;D - support your need to replenish your knowledge and acquire new skills to do your job better via: Continuous product education, Professional training &amp; Certifications, Soft skill training, Language classes, and our very own Exness library;</li> <li>Sports Benefits - Our very own Sports Club with dedicated coaches doing group and individual training, on-site and online, sharing healthy recipes and life hacks + Free Sanctum Club Membership for you and your spouse. Jet Skis (if you have a speed boat operator license);</li> <li>Medical - in addition to having a Corporate Doctor, we cooperate with one of the biggest international insurance companies in order to provide medical insurance for you and your families. Coverage is provided for you, your spouse, and your children up to 18 years old. It includes Inpatient, Outpatient, and international support.<br /><br /><em>Sounds like you? Apply and we will arrange a video call:)</em></li> </ul> <div> <div> <div> </div> </div> </div>","Development
Python
Agile
Blockchain
Information Technology",moreThan6,FALSE,EXNESS Global Limited,4500,5500,FALSE,EUR,Москва,2022-07-05T18:23:15+0300
