+----+----------------------+--------------------+----------------------+
| №  | Название             | Опыт работы        | Оклад                |
+----+----------------------+--------------------+----------------------+
| 20 | Тестировщик          | От 1 года до 3 лет | 40 000 - 70 000      |
|    | junior+/middle       |                    | (Рубли) (Без вычета  |
|    |                      |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 21 | Специалист           | От 1 года до 3 лет | 120 000 - 120 000    |
|    | технической          |                    | (Рубли) (Без вычета  |
|    | поддержки            |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 22 | Начальник            | От 3 до 6 лет      | 40 000 - 45 000      |
|    | транспортного        |                    | (Рубли) (Без вычета  |
|    | участка              |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 23 | Менеджер проектов /  | Более 6 лет        | 60 000 - 120 000     |
|    | менеджер по продажам |                    | (Рубли) (Без вычета  |
|    | (IT-решений)         |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 24 | Менеджер по продукту | От 3 до 6 лет      | 150 000 - 200 000    |
|    | / Product Owner      |                    | (Рубли) (Без вычета  |
|    |                      |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 25 | Продакт менеджер /   | От 1 года до 3 лет | 150 000 - 250 000    |
|    | Продуктовый          |                    | (Рубли) (Без вычета  |
|    | маркетолог (с опытом |                    | налогов)             |
|    | gamedev)             |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 26 | CIO / IT-директор    | Более 6 лет        | 350 000 - 450 000    |
|    |                      |                    | (Рубли) (Без вычета  |
|    |                      |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 27 | CIO / IT-директор    | Более 6 лет        | 350 000 - 450 000    |
|    |                      |                    | (Рубли) (Без вычета  |
|    |                      |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 28 | Механик по           | От 1 года до 3 лет | 40 000 - 50 000      |
|    | транспорту           |                    | (Рубли) (Без вычета  |
|    |                      |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
| 29 | Full-Stack разработч | Более 6 лет        | 50 000 - 70 000      |
|    | ик/программист       |                    | (Рубли) (Без вычета  |
|    |                      |                    | налогов)             |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
|    |                      |                    |                      |
+----+----------------------+--------------------+----------------------+
